step,step_time_s,total_time_s,ALLKE,ALLIE,ALLAE,ALLVD,ALLKE_over_abs_ALLIE
Holding,0.0960000604391098,0.19600006192922592,3.227751221857034e-08,0.0024062690790742636,0.0016893382417038083,5.411121674114838e-05,1.3413924693321536e-05
Holding,0.09750021994113922,0.19750022143125534,9.109459853107182e-09,0.0024060874711722136,0.0016890398692339659,5.4113326768856496e-05,3.786005272979197e-06
Holding,0.09900037944316864,0.19900038093328476,3.632546707876827e-08,0.0024059226270765066,0.00168932368978858,5.41136359970551e-05,1.5098352153954428e-05
Holding,0.10050053894519806,0.20050054043531418,6.668233254458755e-08,0.002406015293672681,0.0016891619889065623,5.411368329077959e-05,2.7714841514078566e-05
Holding,0.10200069844722748,0.2020006999373436,6.098346005956046e-08,0.002405998297035694,0.0016891900449991226,5.41137378604617e-05,2.5346426942485794e-05
Holding,0.1035008579492569,0.20350085943937302,3.199657072627815e-08,0.0024059447459876537,0.0016893538413569331,5.411377060227096e-05,1.329896323664049e-05
Holding,0.1050000786781311,0.20500008016824722,1.2399154591946626e-08,0.0024060923606157303,0.0016891089035198092,5.4113803344080225e-05,5.153233015865453e-06
Holding,0.10650023818016052,0.20650023967027664,2.0248720034032885e-08,0.002405910287052393,0.001689382130280137,5.4113828809931874e-05,8.416240681542891e-06
Holding,0.10800039768218994,0.20800039917230606,4.42644392251168e-08,0.0024059924762696028,0.0016892044804990292,5.4113854275783524e-05,1.839758006797556e-05
Holding,0.10950055718421936,0.20950055867433548,5.263641966735122e-08,0.0024059596471488476,0.0016892502317205071,5.4113876103656366e-05,2.1877515580831688e-05
Holding,0.11100071668624878,0.2110007181763649,3.1410888112759494e-08,0.0024059261195361614,0.001689384924247861,5.411389793152921e-05,1.3055632863246523e-05
Holding,0.1125008761882782,0.21250087767839432,6.284855746940821e-09,0.0024060718715190887,0.0016891862032935023,5.411390884546563e-05,2.6120814682783508e-06
