step,step_time_s,total_time_s,rp_u3_mm,rp_rf3_N,insertion_depth_mm,pullout_displacement_mm,pullout_resistance_N,absolute_force_N
Insertion,0.08937504142522812,0.08937504142522812,-1.3265267610549927,-0.0038396900054067373,1.3265267610549927,0.0,0.0,0.0038396900054067373
Insertion,0.09000018984079361,0.09000018984079361,-1.330284833908081,-0.004165372345596552,1.330284833908081,0.0,0.0,0.004165372345596552
Insertion,0.09062545746564865,0.09062545746564865,-1.3336586952209473,-0.003225406166166067,1.3336586952209473,0.0,0.0,0.003225406166166067
Insertion,0.09125068783760071,0.09125068783760071,-1.336666464805603,-0.004116659052670002,1.336666464805603,0.0,0.0,0.004116659052670002
Insertion,0.09187570959329605,0.09187570959329605,-1.3393175601959229,-0.004436924587935209,1.3393175601959229,0.0,0.0,0.004436924587935209
Insertion,0.09250009804964066,0.09250009804964066,-1.3416211605072021,-0.0034512036945670843,1.3416211605072021,0.0,0.0,0.0034512036945670843
Insertion,0.09312503039836884,0.09312503039836884,-1.3436139822006226,-0.004167675040662289,1.3436139822006226,0.0,0.0,0.004167675040662289
Insertion,0.09375026822090149,0.09375026822090149,-1.3452980518341064,-0.004627290181815624,1.3452980518341064,0.0,0.0,0.004627290181815624
Insertion,0.09437523782253265,0.09437523782253265,-1.3467063903808594,-0.0036552180536091328,1.3467063903808594,0.0,0.0,0.0036552180536091328
Insertion,0.09500046819448471,0.09500046819448471,-1.3478507995605469,-0.004221794661134481,1.3478507995605469,0.0,0.0,0.004221794661134481
Insertion,0.09562544524669647,0.09562544524669647,-1.348755955696106,-0.004764065612107515,1.348755955696106,0.0,0.0,0.004764065612107515
Insertion,0.096250519156456,0.096250519156456,-1.349449872970581,-0.0038139710668474436,1.349449872970581,0.0,0.0,0.0038139710668474436
Insertion,0.09687548130750656,0.09687548130750656,-1.3499547243118286,-0.004207286983728409,1.3499547243118286,0.0,0.0,0.004207286983728409
Insertion,0.09750046581029892,0.09750046581029892,-1.350294589996338,-0.004778146278113127,1.350294589996338,0.0,0.0,0.004778146278113127
Insertion,0.09812556952238083,0.09812556952238083,-1.3505091667175293,-0.0038939982187002897,1.3505091667175293,0.0,0.0,0.0038939982187002897
Insertion,0.09875059127807617,0.09875059127807617,-1.350618600845337,-0.004209198988974094,1.350618600845337,0.0,0.0,0.004209198988974094
Insertion,0.09937578439712524,0.09937578439712524,-1.3506550788879395,-0.004804602358490229,1.3506550788879395,0.0,0.0,0.004804602358490229
Insertion,0.10000000149011612,0.10000000149011612,-1.350655198097229,-0.003994316793978214,1.350655198097229,0.0,0.0,0.003994316793978214
Holding,0.0,0.10000000149011612,-1.350655198097229,-0.0036012069322168827,1.350655198097229,0.0,0.0,0.0036012069322168827
Holding,0.0011252178810536861,0.1011252193711698,-1.3506553173065186,-0.004357964266091585,1.3506553173065186,0.0,0.0,0.004357964266091585
Holding,0.0022502217907458544,0.10225022328086197,-1.3506553173065186,-0.004655438009649515,1.3506553173065186,0.0,0.0,0.004655438009649515
Holding,0.003375477623194456,0.10337547911331058,-1.350655436515808,-0.004198275040835142,1.350655436515808,0.0,0.0,0.004198275040835142
Holding,0.004500582814216614,0.10450058430433273,-1.3506555557250977,-0.004191218875348568,1.3506555557250977,0.0,0.0,0.004191218875348568
Holding,0.005625372752547264,0.10562537424266338,-1.3506555557250977,-0.004125621635466814,1.3506555557250977,0.0,0.0,0.004125621635466814
Holding,0.006750153377652168,0.10675015486776829,-1.3506555557250977,-0.004293312318623066,1.3506555557250977,0.0,0.0,0.004293312318623066
Holding,0.007875759154558182,0.1078757606446743,-1.3506556749343872,-0.0046658930368721485,1.3506556749343872,0.0,0.0,0.0046658930368721485
Holding,0.009000851772725582,0.1090008532628417,-1.3506556749343872,-0.004302590619772673,1.3506556749343872,0.0,0.0,0.004302590619772673
Holding,0.010125942528247833,0.11012594401836395,-1.3506557941436768,-0.004104397259652615,1.3506557941436768,0.0,0.0,0.004104397259652615
Holding,0.011250725015997887,0.111250726506114,-1.3506557941436768,-0.004138142801821232,1.3506557941436768,0.0,0.0,0.004138142801821232
Holding,0.012375260703265667,0.11237526219338179,-1.3506557941436768,-0.00421884935349226,1.3506557941436768,0.0,0.0,0.00421884935349226
Holding,0.013500464148819447,0.11350046563893557,-1.3506557941436768,-0.004524259362369776,1.3506557941436768,0.0,0.0,0.004524259362369776
Holding,0.014625388197600842,0.11462538968771696,-1.3506556749343872,-0.004344109445810318,1.3506556749343872,0.0,0.0,0.004344109445810318
Holding,0.01575092040002346,0.11575092189013958,-1.3506555557250977,-0.0040808930061757565,1.3506555557250977,0.0,0.0,0.0040808930061757565
Holding,0.016875483095645905,0.11687548458576202,-1.350655436515808,-0.004160082433372736,1.350655436515808,0.0,0.0,0.004160082433372736
Holding,0.018000278621912003,0.11800028011202812,-1.350655436515808,-0.004261721856892109,1.350655436515808,0.0,0.0,0.004261721856892109
Holding,0.019125359132885933,0.11912536062300205,-1.3506553173065186,-0.004455470480024815,1.3506553173065186,0.0,0.0,0.004455470480024815
Holding,0.020250773057341576,0.1202507745474577,-1.3506553173065186,-0.0043634166941046715,1.3506553173065186,0.0,0.0,0.0043634166941046715
Holding,0.021375829353928566,0.12137583084404469,-1.3506553173065186,-0.004074567928910255,1.3506553173065186,0.0,0.0,0.004074567928910255
Holding,0.02250083163380623,0.12250083312392235,-1.3506553173065186,-0.004107056185603142,1.3506553173065186,0.0,0.0,0.004107056185603142
Holding,0.023625170812010765,0.12362517230212688,-1.3506553173065186,-0.004250209312886,1.3506553173065186,0.0,0.0,0.004250209312886
Holding,0.02475038357079029,0.12475038506090641,-1.350655436515808,-0.004386528395116329,1.350655436515808,0.0,0.0,0.004386528395116329
Holding,0.025875894352793694,0.1258758958429098,-1.3506553173065186,-0.004353916272521019,1.3506553173065186,0.0,0.0,0.004353916272521019
Holding,0.027000661939382553,0.12700066342949867,-1.3506553173065186,-0.00411287322640419,1.3506553173065186,0.0,0.0,0.00411287322640419
Holding,0.028125831857323647,0.12812583334743977,-1.3506553173065186,-0.0040967874228954315,1.3506553173065186,0.0,0.0,0.0040967874228954315
Holding,0.02925015054643154,0.12925015203654766,-1.350655436515808,-0.0042608920484781265,1.350655436515808,0.0,0.0,0.0042608920484781265
Holding,0.03037516213953495,0.13037516362965107,-1.3506555557250977,-0.004364184103906155,1.3506555557250977,0.0,0.0,0.004364184103906155
Holding,0.03150033950805664,0.13150034099817276,-1.350655436515808,-0.004329154267907143,1.350655436515808,0.0,0.0,0.004329154267907143
Holding,0.03262568265199661,0.13262568414211273,-1.3506555557250977,-0.004131746012717485,1.3506555557250977,0.0,0.0,0.004131746012717485
Holding,0.03375035151839256,0.13375035300850868,-1.350655436515808,-0.004075041506439447,1.350655436515808,0.0,0.0,0.004075041506439447
